server,payload_size,rtt_min,rtt_max,rtt_avg,rtt_std
lon.speedtest.clouvider.net,1130,1.487,1.736,1.635,0.093
lon.speedtest.clouvider.net,1140,1.553,1.742,1.634,0.068
lon.speedtest.clouvider.net,1150,1.621,1.643,1.63,0.009
lon.speedtest.clouvider.net,1160,1.603,1.703,1.652,0.037
lon.speedtest.clouvider.net,1170,1.535,2.073,1.72,0.208
lon.speedtest.clouvider.net,1180,1.577,1.756,1.66,0.067
lon.speedtest.clouvider.net,1190,1.62,1.68,1.657,0.023
lon.speedtest.clouvider.net,1200,1.592,1.695,1.627,0.04
lon.speedtest.clouvider.net,1210,1.546,1.642,1.604,0.035
lon.speedtest.clouvider.net,1220,1.586,1.63,1.616,0.017
lon.speedtest.clouvider.net,1230,1.572,1.67,1.632,0.036
lon.speedtest.clouvider.net,1240,1.572,1.887,1.703,0.123
lon.speedtest.clouvider.net,1250,1.559,1.592,1.577,0.012
lon.speedtest.clouvider.net,1260,1.549,1.633,1.591,0.031
lon.speedtest.clouvider.net,1270,1.555,1.762,1.64,0.078
lon.speedtest.clouvider.net,1280,1.57,1.647,1.619,0.029
lon.speedtest.clouvider.net,1290,1.491,1.665,1.604,0.066
lon.speedtest.clouvider.net,1300,1.495,1.695,1.608,0.073
lon.speedtest.clouvider.net,1310,1.622,1.83,1.681,0.086
lon.speedtest.clouvider.net,1320,1.502,1.894,1.656,0.145
lon.speedtest.clouvider.net,1330,1.513,1.686,1.606,0.062
lon.speedtest.clouvider.net,1340,1.555,1.634,1.606,0.03
lon.speedtest.clouvider.net,1350,1.592,1.798,1.661,0.082
lon.speedtest.clouvider.net,1360,1.5,1.756,1.62,0.091
lon.speedtest.clouvider.net,1370,1.534,1.698,1.634,0.06
lon.speedtest.clouvider.net,1380,1.569,1.633,1.611,0.025
